Frame,Volume,Harmonic Strength,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Flatness,Spectral Contrast,Spectral Entropy,Poly Features
0,0.0,0.02153999303916227,13600.623134962674,12325.817644596284,0.8147763110320646,8.839638992665497,6.263255274476544,0.0
1,0.0,0.02432345445356071,2273.2037250900826,4948.720145957025,0.6843154656561217,10.455413451352529,5.652996048982722,0.0
2,0.0001832383419689119,0.04416898267410673,2190.5185300202443,3648.8250443355137,0.49748263958963507,10.409615516583782,5.600029299092939,0.0
3,0.0003058419689119171,0.05103805597738081,2481.39025945091,3412.4971921617584,0.35607708561187756,9.998957361172186,5.74633706990817,0.0
4,0.0006475129533678757,0.1825113647852853,2044.506195323018,2929.8706982040303,0.2566872598208474,10.594956915119797,5.739488177436626,0.0001342333713351204
5,0.0006646373056994819,0.07385874790046482,2417.1001939122616,3525.2584197651663,0.21969526333932402,11.708770932153884,6.393425261514038,0.00016210558962652058
6,0.0008931217616580311,0.14517135168863857,2655.752384181748,3133.371060224498,0.17198158031994562,11.061973314683694,6.001846862627767,0.0003109823384607335
7,0.0018782642487046633,0.0752804037786524,1107.779648715724,2342.541504851983,0.14685557364398363,11.201022015507379,4.957983842830229,0.0011425088656382583
8,0.002005854922279793,0.08707887141245713,1396.721292098424,2892.7633953898485,0.11871883894398805,11.463074443721675,5.556016238540329,0.0013454419398785853
9,0.00276669689119171,0.09789056141699251,1719.9115177927229,2855.7425371228137,0.08939056255344048,11.513801866435534,5.602684861202475,0.0029798055705434973
10,0.002021334196891192,0.13857745372551591,2457.276435732408,3019.9852261281844,0.14330888331566238,10.873429804525145,6.6705590691575525,0.0013651687984198811
11,0.003012720207253886,0.05264269925252759,1822.036421391853,2787.674266033794,0.19153783922028528,11.417324104993524,5.466531581148393,0.003240586079604696
12,0.003916062176165803,0.056245639201022005,1560.5422350664614,2212.91526712344,0.08688083928694242,11.478617149184421,5.098073696556994,0.005781073275413684
13,0.00435818652849741,0.14672838685327255,1394.28903098256,2603.1835930866264,0.30137195781895154,10.259111308767078,5.433189839602735,0.006420741597774414
14,0.009091450777202073,0.23522927165484334,935.1586963488766,1698.4921095565046,0.1596271796400718,10.259609866942174,5.257882464257712,0.026973484639308095
15,0.008244546632124351,0.19833359007753312,896.102599847426,1714.6715686397595,0.30312267977581064,9.904780008734809,5.088043205960209,0.023509918571321325
16,0.00881532383419689,0.07965899165924395,1093.9284481005993,1919.8155500900127,0.31061042123930416,10.708038517339103,5.345138239370316,0.029278485433005107
17,0.009449546632124353,0.06181635808463023,1307.346097765487,2409.4269261520394,0.09812807607485849,9.977773454582442,5.347268206934097,0.03159540314985453
18,0.009533652849740932,0.04772586465970057,2072.8807367998675,2638.1167922816917,0.25843697859727116,11.337994097776564,5.779131307729736,0.03261819406326667
19,0.01212523316062176,0.21844557177035293,1563.374274407553,2259.6163105958894,0.11579824563487538,11.163641243994785,5.721744687544323,0.04977339916746321
20,0.00934449481865285,0.0880839065137848,1997.706136390349,2375.286901051323,0.29167254015026134,11.56326101203561,6.223145649958073,0.03086722165423871
21,0.01298591968911917,0.190926400395371,1026.2202814142015,1865.3968230042415,0.032948445865837894,9.935312109028642,5.518026678716134,0.05449859129068292
22,0.011045323834196891,0.14149976204453665,3298.1263869596146,3025.7834784101515,0.11466171885485849,12.341346059441793,6.565793135759564,0.0437840505826092
23,0.010966334196891192,0.11837646934422068,3829.4208778965426,3118.6513804799242,0.08797174510732722,11.933137277271344,6.745262998934943,0.040135504546188805
