Frame,Volume,Harmonic Strength,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Flatness,Spectral Contrast,Spectral Entropy,Poly Features
0,0.010703985760971056,0.006584285074225355,216.8435235171668,498.4229905999008,0.14235290132911327,11.138963937113317,3.713876070244534,0.0175600329362
1,0.004984477124183007,0.14191029833064883,582.3306425492949,1200.7027796872856,0.29918364348439247,9.561803754363552,3.92313800174367,0.006238361402600752
2,0.013194269374416433,0.023228147392289167,493.8886494409283,1092.6828970921908,0.16462271702993586,8.847260077770956,3.3060608345111153,0.036150267283707675
3,0.00835031512605042,0.06980751634511413,451.2582508253109,997.6601919479347,0.3160533247200272,8.526084219562838,4.256378108204912,0.01806807029079768
4,0.008287931839402428,0.07686990877719754,394.34364101889287,928.166842275198,0.16930618144281132,8.455172074317021,3.92293425756773,0.01486340689224043
5,0.004589665032679738,0.08599590086640449,541.1437057055209,1270.3672691191764,0.3665163980904358,8.047503386480836,4.778268989895642,0.006352114889467498
6,0.00809375,0.19581939570155513,354.9206253818379,791.2630225608804,0.2073451314983526,9.442167922575848,3.9923763725971884,0.016308857069509096
7,0.005626283846872082,0.013681134531746663,487.6660555393707,1210.5561074326956,0.22565018391629033,10.21291987323829,3.3400324119511877,0.007377541942975573
8,0.006876254668534081,0.12635691670076551,304.73811493657865,769.1750605644246,0.149042899738322,9.603247755638439,3.623739562903184,0.01269084491884528
9,0.005482551353874883,0.2999980151426857,300.3158553854388,875.4895340381279,0.20348400615649606,9.624929409166532,3.885079084229612,0.0073139246717100915
10,0.0030976598972922496,0.05368978186820693,522.4353988122078,1205.585641906166,0.26697122794401,10.196520496152072,4.2312338862266055,0.0026723687597381912
11,0.006660189075630252,0.016403367814735236,457.34787294897615,989.6607499715891,0.19644305810299928,10.922144632041926,3.3305931740133965,0.009887706916271933
12,0.004088322829131652,0.017072913561443286,652.2852416562564,1693.621961393703,0.22440566682667357,9.312115231718506,3.8521735350088724,0.0031809636275221768
13,0.010673757002801123,0.12296018499439161,215.05815612168468,583.6614818614489,0.23674665625411473,10.222050784702128,3.949882536380612,0.02094883864447684
14,0.00344890873015873,0.23106968990874088,317.8647530989875,838.4604823849504,0.2452679156238636,11.505819098713806,4.151607062388902,0.0031896944810300308
15,0.007059232026143791,0.0067063655418253066,423.8833254586398,1000.3394622902017,0.16144877287229906,10.886721833505149,3.236827539175086,0.011752558460503104
16,0.009399947478991595,0.09014499338807129,288.73042626111527,703.5607455921566,0.1401461090551341,10.729756600359684,3.709921956383709,0.020105539122672104
17,0.005235585901027078,0.21830246692643654,451.6897097832424,1061.0418311578237,0.3301030536497776,8.643903717850971,4.237071305323818,0.008154723183145009
18,0.007842436974789917,0.10645444541232353,377.49464802350445,839.1452631009158,0.20796111369034123,9.346118939151207,4.131749686190756,0.013556287430552707
19,0.00815219421101774,0.1635895087969835,288.1177465519382,584.5571521648235,0.15602118768856751,10.6151107560766,3.658503483943842,0.017458899464306753
20,0.004544176003734828,0.005789827254599323,574.5667466677913,1316.1254116630446,0.18001371082712012,10.767023542791069,3.2991455224899435,0.005208588038606298
21,0.004379756069094304,0.2372460555659897,366.16486821373053,841.4449969288924,0.2763191634768985,9.537832437654808,4.304954233765896,0.005450883725077379
22,0.004842728758169934,0.15014855360215454,290.87230209447455,963.8012229979748,0.2879789680125518,10.882991988803932,3.8464590435158774,0.005498663730835114
23,0.005017302754435107,0.18411968170390774,287.42431455013036,890.2525808739026,0.21532268385775163,10.51696700326265,3.447486399818886,0.006506414061497508
24,0.012008724323062558,0.012469023663554657,460.82863801544175,1206.891041327237,0.2797157354497796,10.440628529003364,3.559731652973168,0.027360476235529948
25,0.010444094304388423,0.015894707326513262,719.3794397056527,1683.4645697094704,0.22010452181308315,9.46843590357462,4.695117828297368,0.021484809650331053
26,0.015275443510737627,0.04870995779099897,3096.5141829924023,3973.8293800870497,0.19559087760324997,12.006753850674333,6.307885208916611,0.06349770912462228
27,0.04225043767507003,0.05977691039469948,5393.140798462836,5201.037209402362,0.2131377888454207,11.537656849578214,7.2670421533469165,0.5840252398639061
28,0.0923188025210084,0.10965405382934397,5035.771506286522,3483.769433844107,0.0985186989294405,12.298749166444107,7.067994180875097,2.908352446035088
29,0.13315858426704014,0.05910953117884802,3223.3773985246294,2992.8631119878896,0.30115439717048453,10.482349847419092,6.763546613952323,5.95891126851875
30,0.14169345238095235,0.061422472626723665,2216.476385623793,2503.078144006213,0.2211771315611937,12.318032567463263,6.284039365429061,7.290701013684278
31,0.15258237044817927,0.06785784673366516,1551.5906548746502,1906.8544903288146,0.09692209958124927,12.357839688387397,5.723973180403992,8.29049132106059
32,0.1493627159197012,0.06298843804849764,1815.499029906416,1847.743445380113,0.07797788146231596,12.713177178363086,5.984241427622784,9.52996139781552
33,0.12432487161531279,0.04573591486274487,1362.752605841892,1609.5680916757726,0.06460899127876585,12.53000114775744,5.6142626054083,5.933925420746875
34,0.0747110177404295,0.04820652906357313,2239.3326947720693,2370.682000101569,0.12982825625146333,11.767500578674916,6.162419259211139,2.215623140122135
35,0.07153871965452847,0.04283011252439336,5741.3328289394285,4818.328096737898,0.1937304516455338,11.86002314545615,7.4562593596021,1.740418259769909
36,0.08987535014005602,0.04180924896717964,4941.746913216432,4918.7703804388,0.19394340081213657,11.71886237039285,6.989204882654783,2.8158750069983984
37,0.1131512896825397,0.0768688599333712,2978.4382608098936,3135.675072152102,0.06822402390667613,12.283085230925183,6.27490805092842,5.129774069276118
38,0.0826829190009337,0.09578812225629356,4403.841416569594,4096.05701001992,0.09658044216542595,12.091194500251634,7.254529026159643,2.614368048149631
39,0.11829006185807657,0.08264188723084749,4621.519417994018,3453.7214122621785,0.217669104511101,12.630656015644506,6.498286441657881,4.97384393178224
40,0.1314782913165266,0.1371467251797353,3825.7673163864633,2933.033112298796,0.18133371070419196,10.896552393244926,6.633779319938412,6.367568843110151
41,0.10996014239028945,0.1424423247983104,4697.488089367599,3445.0379310765697,0.10561730286277865,11.824744135331288,7.064257857336132,4.460335370197275
42,0.13594491129785247,0.05346011480992773,3118.500342262342,3739.68210755162,0.25567822263666623,12.518989471884343,6.734671188711501,7.285640246298078
43,0.13199282212885152,0.052844059352205715,2229.0532207331244,3006.1428344158517,0.32435240511126345,11.734655054365755,6.364664431150055,6.696120186271755
44,0.10131439659197011,0.061740965504697605,2991.936906618263,3183.3656804899356,0.17920329910085586,11.111014644635759,6.6556316134631,3.801381319439505
45,0.07999366830065359,0.061242272330237005,3701.4610780958014,3163.031760614932,0.01564402735625625,12.289839909828347,6.822305862016662,2.62038450677045
46,0.07737167366946779,0.05170306689656377,3240.304654138858,2674.352869805538,0.13159870419175432,11.48078306008793,6.782440373893713,2.3357090111044063
47,0.05734106559290383,0.06526879000373417,2486.8066788170795,2986.8479483075994,0.0994609038879301,12.03338803933821,6.384312091813154,1.3755424747059084
48,0.08357154528478057,0.04147913936287041,2603.481842389264,3444.6399867496316,0.18450287338876561,11.991404958433936,6.500397966495337,2.6623346626860593
49,0.1244920926704015,0.03752003313546883,3506.429302475578,3591.4485635301385,0.19575681733760159,12.012936657530958,6.621774074513597,6.1097051723718
50,0.20235396241830067,0.14664383985038382,3466.1253196470757,2629.695409137383,0.028266751147800966,12.866568572681027,6.639868976398001,15.17111814093872
51,0.1357451563958917,0.12442470134392543,2839.9245730952402,2809.593335289385,0.2953588995925948,12.464539441286993,6.313520920681395,6.835202120680213
52,0.11472738678804856,0.0581295970007169,3965.042991407386,2550.640811064843,0.33684742748657465,11.543633458037247,6.353814005071175,4.872328696801266
53,0.10152897408963585,0.07225056949389629,4570.872972321054,2365.727834362239,0.2460667066418288,11.741008011864642,6.565018977573902,3.847285189272672
54,0.061381827731092437,0.08328678472051526,4905.450840201004,3066.678362330179,0.14890165636035646,12.371784334555004,7.128155906993956,1.3091943848934213
55,0.0847516048085901,0.05882557033833201,5079.985769285428,3684.3983682291437,0.23586037135620397,12.838959811213593,7.186533543296055,2.515372350307127
56,0.16756608893557423,0.09593958936065396,4214.584771358493,3244.6728537539607,0.05199582681764953,13.090771604327397,6.72941790831334,10.296273838865787
57,0.190687908496732,0.09774453770120042,3756.4921422850234,2569.9318927044346,0.17046580323060084,13.08056286839695,6.388544798039886,14.160014946547594
58,0.10533318744164331,0.0953000695649757,3423.4052950304017,3140.0917664912167,0.11600391182012323,12.798746197307016,6.511467634419898,4.285164370392891
59,0.0716265172735761,0.08207458220405509,3794.579964790117,3053.55637957182,0.1693805770738758,11.622896414424863,6.979602930292608,1.9105846670660875
60,0.08300682773109243,0.16630576986658108,3427.7871312452467,2602.3848903139,0.07994395951074966,10.845571517205997,6.303566812963628,2.5448120919915165
61,0.07653127917833799,0.12248443641367363,3248.9931932092045,2992.2328993121637,0.2391134460407587,10.792694963018324,6.756986518354046,2.3018310607880856
62,0.09690105625583566,0.11654021296617173,4082.21827634972,3331.225999366515,0.2040453813812182,11.048297960721966,6.738447237365657,3.44937183770743
63,0.09503466386554622,0.09647743162573831,4936.209160913776,3439.901443142403,0.12261180643772385,11.807487318487373,7.100925921043476,3.1516804042014326
64,0.1229282212885154,0.07401063654043376,4034.8822458200725,2996.252041402991,0.2024705133495804,12.12798403945782,6.800423952895131,5.386975202856762
65,0.11031360877684407,0.06788789447686305,3760.970058972802,2887.140160173916,0.2642853118052687,12.070497748144728,6.468972501396134,4.429578962703317
66,0.11587161531279179,0.17743441909118632,3282.250133205676,2441.597693565257,0.14679983266660346,11.917058458662757,6.330515222827607,5.108367053993779
67,0.08476044584500468,0.1291495140188179,2882.943428781412,2386.3064599327636,0.1286315682960613,11.860550838052268,6.096510614175777,2.621047154800979
68,0.07826651493930906,0.18347647571790365,3472.2108073152,2987.302299854741,0.07053617462867631,12.54894077665601,6.689716149276115,2.103626283881818
69,0.10521142623716152,0.0803901718705568,4430.572114171479,3679.6688412881126,0.11101628677203858,13.050087241061183,6.81741371349815,4.0475208573016
70,0.13277914915966385,0.08454004089217743,4050.3096014669436,3667.785920383267,0.1556983949425531,11.967318460805254,6.886896778913332,6.444838632255152
71,0.16671361461251166,0.1065096379801231,4014.907969221654,2948.311415120035,0.02628805911433555,11.967095495554036,6.762480147145475,9.741194370145553
72,0.17906474673202616,0.06526241893270654,3854.809523595034,2859.812268797273,0.22695879493600096,12.621278079569603,6.422269795006068,11.710951434285889
73,0.20429688958916903,0.1239328478041595,3979.689504995336,2599.8147999521816,0.22942256081323698,12.514738809052805,6.171139965186532,15.04810069222671
74,0.19511221988795519,0.12175402862719403,3787.1221543637757,2406.7415517176964,0.2775135605812406,12.657042764064311,6.455249503254729,13.594241782467757
75,0.170953081232493,0.07607316085278738,4102.088593542126,2469.1490640512698,0.25488584741965653,13.234490967914425,6.385499926815372,10.546458005788969
76,0.14742083916900092,0.10486970517438152,3387.4232788751137,2889.1330570950026,0.03796065626106696,12.95782713296454,6.584693662175846,8.574539355484527
77,0.11529318394024277,0.12133142107745767,4174.842691372894,3721.533787649317,0.05701018120828583,11.49764926246237,6.858663696907492,5.398064262876478
78,0.1477533263305322,0.0846084534092342,2679.6681789253535,2785.226931677648,0.09729025285344321,13.86318850818094,6.487068342568021,8.853103441775156
79,0.1448343837535014,0.18616856614969218,2787.698557111754,3043.6932229921395,0.06830339589704398,11.975501098314792,6.587320982083219,7.567389287218715
80,0.13173503151260504,0.06789008206208741,3948.0224792332037,3694.674254176348,0.0619150946093587,11.918871067882622,6.819590543489771,6.164221103170089
81,0.17291914682539683,0.1414562471776486,2757.0575483800994,2769.8331021643903,0.053868492893424776,12.050928634624395,6.7075099543742684,11.350254852749313
82,0.12011510854341736,0.05806942073352051,3318.429847937492,3506.224598653622,0.0701597595710775,11.583343605647938,6.772314567531939,6.0568011527985774
83,0.12367296918767508,0.0702950529142648,4451.146661668295,4040.6364245090394,0.22201818647108437,11.850113425717856,7.378738410126218,5.050590501767453
84,0.20394774159663864,0.06967060975640131,3216.780090574455,3089.4634418475043,0.10177006757915254,12.580322510660963,6.476191830955082,14.76443622456669
85,0.17885874766573295,0.04871667844769477,2681.035515312822,2867.5114090024845,0.0811496308162748,12.92615867929341,6.506345574009223,12.43862936876801
86,0.10692997198879553,0.07525518500762927,3393.049356000048,2841.2916197309833,0.02059364934771401,12.410237529393909,6.893504958449804,4.599163176222443
87,0.0996015989729225,0.0977399194964051,3613.1081763849984,3008.446923357213,0.06744473507829701,12.232462720498956,6.8304742611037765,4.045167776328935
88,0.09965840919701213,0.11390336624250373,3750.4890465886024,2470.6859284386187,0.11686618490057513,10.816684272490578,6.822589799632972,3.7186642668521315
89,0.09512911414565826,0.08614746365846944,3131.400380191443,3021.8463636004353,0.12631150534733693,11.308247027894653,6.827457975162,3.719829342309886
90,0.08970996732026144,0.07033229046252863,4740.591440871823,3764.092372430477,0.12166892475204909,11.557036725201893,7.073922370367714,2.926850946106973
91,0.1275026844070962,0.03634513761954814,3399.7072834283176,3665.0302996666533,0.061744360869460155,13.097831087833097,6.8058539259690045,5.920348582473437
92,0.09385641339869281,0.08909809171091569,4112.1874544845905,3855.826369701708,0.08759512494274858,12.77824550547536,7.152353258935564,3.220937187710132
93,0.12408269140989729,0.0730695660673935,4803.553361714085,3530.478704238655,0.10366407442626316,12.839957384372775,6.696359809296004,5.176222675912596
94,0.11304580999066292,0.05181061040241459,4148.632861471568,3915.9021683366655,0.06502770609658058,11.96030434355978,6.981229373698839,4.640143043152562
95,0.11978177521008403,0.11075387306646789,4032.3605425508094,3249.454294422795,0.04455879864692513,11.793358432461309,6.860938542569522,5.996469488997118
96,0.12900329715219422,0.09280198589134471,3303.2994304120416,3387.2194344930926,0.09432438511881143,12.451280571919954,6.856673654306411,6.154234895812364
97,0.1755766223155929,0.043010189415283236,3365.5616771108967,3666.152386367007,0.19913230770292698,13.235503004632617,6.676035784449657,11.09469674933541
98,0.1574159663865546,0.10079945229217169,2519.5962386991737,3086.229696568887,0.1386887138242838,12.426579149990573,6.605107884034774,9.195704623688314
99,0.1703669467787115,0.07157976191421647,2369.553690491543,2527.2829817711113,0.07856799245354683,12.915313711187691,6.376295885978628,10.677191258967113
100,0.1468982551353875,0.04582257768182564,2114.5333508264457,2442.2602157270326,0.03307059730229678,12.224453770601855,6.17953977598147,7.439950288984292
101,0.10646647408963585,0.06904413585283678,2345.1770505443324,3029.461686775631,0.047760649234169124,11.198431187066898,6.100447536434968,4.200861256844111
102,0.07083832282913165,0.04864748461552681,3685.8003378115236,3639.839006500923,0.19577611758697486,11.85404520111068,6.688931110586394,1.7653482569442305
103,0.09434605508870214,0.056091480625212305,4317.8664849368315,3884.963692085689,0.12748023483299953,11.743942631849396,6.880888324144513,3.293387028442571
104,0.14446554038281978,0.03218180729766233,3788.252888857745,3095.8985205544227,0.19614163459603884,13.571723952288599,6.408812459684961,7.395137662962444
105,0.09063506652661063,0.06758373890505784,4919.790217883236,4347.377055641446,0.03252719649903142,13.494420317935207,6.9952251373725876,3.25219027975029
106,0.0925065943043884,0.047226945663243355,4372.463832830025,3108.2546550861834,0.09442755336026748,12.300247307239774,6.953953781085047,3.0896224800163226
107,0.08302970354808589,0.05795896756662304,3722.187749042731,2886.700274255602,0.03826439453830083,11.443444308812838,6.696508545013613,2.8451776293227016
108,0.09114805088702148,0.0372534586299294,2396.148546432622,2365.619773629739,0.04005042304996208,12.24422704084117,6.28380423234675,3.4418528161296003
109,0.10659182422969188,0.04950568798545594,3505.5049542158713,2913.074506055872,0.19140788657181038,12.579869871840012,6.4765253564645535,3.97165205860393
110,0.10376210901027076,0.07974506390602973,4215.525376107272,4230.441365952641,0.12733138216677484,11.340146675156177,7.0284973717061625,3.8296588328320116
111,0.15572540266106444,0.11918106543322016,3620.9045238944304,3615.057327476154,0.23951196943686115,12.334357185273484,6.645749140812087,9.440614975328838
112,0.14161046918767506,0.12806846264763774,3404.2399887345396,3431.4140695299106,0.03259704019655465,12.459196958967874,6.564155886946957,7.2924937760629405
113,0.10257358776844072,0.15810666185434982,4199.3588250656185,3160.522777107148,0.12606038611667822,12.76163349411189,6.851595998521595,3.931583470556743
114,0.09342722922502335,0.12146625773213389,3403.0923225248375,3056.534153425019,0.22260277205159612,11.487288417116114,6.663557271867622,3.3153714533056107
115,0.07423246381886088,0.09106818679969489,3226.3999473698136,3252.8487748679727,0.2745565820657436,11.2227287199813,6.677068732790952,2.127101877965693
116,0.07926677754435107,0.06646254316592602,3878.598652586642,4028.4444496455594,0.23897537729933668,12.054107782971666,6.887707981291647,2.308997119922472
117,0.141265931372549,0.07056236700572338,4448.064151687552,3709.2211973935314,0.05979931887358004,12.653222686074205,6.688636571497508,6.8087472816750925
118,0.12625414332399626,0.03157523387620256,4074.780582392284,3937.609418390511,0.2041109065099391,11.929589087793655,6.917498744896144,5.544803703268952
119,0.10598298902894492,0.07763646104055481,3943.7800991492154,3923.8978174245444,0.058492530710961575,12.63876031274991,7.00308581750064,3.9801144273898807
120,0.08750242180205416,0.06721110737410194,4416.894461320678,3815.504813418788,0.2431996621088883,12.383070657261603,6.976942243107246,2.9508494862096786
