Frame,Volume,Harmonic Strength,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Flatness,Spectral Contrast,Spectral Entropy,Poly Features
0,0.0,0.020298563878553614,8710.882770059841,8368.384520341187,0.6554323031683912,11.081907431915289,5.907066999431058,0.0
1,0.0007164108667104399,0.030788026764158188,3849.086701111351,4934.404418757678,0.2608230751761201,13.461216857136654,6.369058895293828,0.00020392388974764013
2,0.002142522980958634,0.046887199714859995,3277.70215910877,3977.9580753139026,0.1482272115980427,14.212064981773526,6.5205623852976276,0.00180790015878192
3,0.00474671700590939,0.04774403464247006,3832.0877426538364,4210.745086553105,0.1407699385696586,14.791246966177843,6.900819332055368,0.0075950700844964825
4,0.006950693532501642,0.043558958527717066,4322.930659576426,4937.345979029745,0.13432264372378036,15.10717840497298,7.073361769457764,0.016492162472636584
5,0.01081350541694025,0.04371253700311479,4122.032447376483,4005.4641273816096,0.05229900150497212,15.532869880652921,7.193332029869215,0.04461627337247649
6,0.012672993269862114,0.041163791835087546,4749.394270383827,4654.176607837741,0.11155390879177376,14.661677766497139,7.275940350986058,0.05577771478789709
7,0.013346396913985554,0.0349833980401737,6095.931857505796,5743.046911815791,0.22844687224638263,14.795596057659322,7.49767930916603,0.05364722584858194
8,0.014238263296126066,0.04515685205810844,6518.427269857164,5878.788194674067,0.11632080492234421,13.811228021407784,7.196863798589496,0.05864919315948462
9,0.018166324688115562,0.03405480907657196,6821.5439238005065,5753.274135473994,0.19949937565621784,14.310093530576362,7.174481528665893,0.09620981425871043
10,0.020131832731451086,0.03899680852060072,5815.090256366695,4814.498571994044,0.082277392819652,15.163474080950909,7.341043225371214,0.13299892982162065
11,0.01749302363755745,0.03227442527442283,4419.116123625456,4301.448097097488,0.1715797749448798,13.905244833989324,7.1197999733083,0.11511381480440626
12,0.01876620978332239,0.03151926330625305,3691.9627859251186,4166.871975864643,0.054785359651899006,13.887525442659337,6.947660122944522,0.12217132289253736
13,0.022016476526592253,0.04017491387896952,3681.5466506989865,4112.064731273395,0.04542515568456141,14.650183831080856,6.837283265251065,0.17395790523680033
14,0.019883556303348652,0.03957548166668681,3773.544553772979,4063.4901139185786,0.1708942702483394,13.49830662183875,6.948839275298868,0.14648999939567145
15,0.01795676707156927,0.026411196341418804,4228.574156213217,5139.194379946154,0.034991463167540725,12.80664523136853,7.015065969242248,0.10589908561616518
16,0.021493844386080107,0.02070610820726771,2984.35540710425,4017.1060487328073,0.19214594926550146,13.332667012782549,6.637618774579796,0.16430209013600391
17,0.021843052363755742,0.032807795087705,2940.5755393504564,4243.840056098892,0.09305244086646487,12.637139795742428,6.494741469655551,0.16400142936250878
18,0.02145744418910046,0.03127302450903945,3654.4454918918755,4811.565314643871,0.23443182357817358,12.635736214695198,6.657425389227805,0.15064333153014178
19,0.019122804497701904,0.024303165018284355,4089.3466152810756,4946.09364854389,0.2090618536298901,12.142311661601324,7.003667891584833,0.12712453408733407
20,0.018714666776099804,0.03453724072983466,4423.960801100677,4626.411150131006,0.027084495821178535,11.445393941141987,7.124806617871888,0.10951270587113944
21,0.014198826329612606,0.02607691617526044,4951.266694082538,4789.912829410693,0.23399663401184315,12.73919467369122,7.302234072931791,0.06905651292756856
22,0.014819496881155613,0.0448964665644547,4038.4725817642034,4285.7999156984815,0.053220919093694856,13.009576330362464,7.2848266072723105,0.0731719625524256
23,0.013113776263952723,0.046793811240861835,5477.247744029158,5391.512793958112,0.08680658307758281,12.450429667031008,7.278477719275208,0.047659193710278415
24,0.014905552363755745,0.04452058938262311,4601.667949713324,4614.706294212623,0.1498144593660215,12.512402909930648,7.177893520319212,0.0604943995209146
25,0.014511182698621141,0.09279117987990686,6176.78352194144,4633.712123604879,0.055737356139828595,12.258474884592278,7.316681615921347,0.06355396330564925
26,0.01671401017728168,0.03579021998005081,5873.356419892572,4528.512311728361,0.15137229009649708,13.435532586479182,7.312254970110424,0.078212046633036
27,0.012156762967826657,0.039400375759989226,5482.228347473395,4336.658390705152,0.08683155764178666,13.452065133907675,7.3686926859403385,0.043561842352870014
28,0.011895231451083389,0.07189469648447595,5311.952605792122,4975.399417092086,0.16196371477209515,13.315715158851074,7.090519209238627,0.03347315619431407
29,0.015240417760998031,0.04334608457756268,4202.146897426118,4775.953563690454,0.06354370344968607,11.936189951822831,7.082386665065735,0.05588244969803271
30,0.010470494090610636,0.04369175792762902,4224.108194058238,4542.51913152162,0.10942444147659551,11.541390560134312,7.133003873858216,0.03275543163612071
31,0.012723900196979644,0.04670765852344222,4667.740062118367,4556.378314710657,0.04943717124960504,11.748206650185763,7.071273035828842,0.048331913655592265
32,0.013655613919894944,0.0448382015957258,3621.262979624159,4119.591592683871,0.13188399855144453,12.267255899573277,6.6374494119337655,0.05533533057793556
33,0.010726218811556141,0.09445487554685934,3359.452313577633,3852.422177285582,0.05767911820162212,12.746582012153434,7.0066426487012485,0.037083329137501266
34,0.01809592498358503,0.05619780698232467,2739.1087748297896,3923.374520224461,0.23259270412117145,11.91403303727014,6.161498640379983,0.07183273739753508
35,0.02238743434011819,0.05210640816382012,2058.9705815735983,3122.3257451757695,0.13996190985195414,11.032968022604086,5.432956213046797,0.10491949202699473
36,0.008537282501641496,0.10991127527863541,3318.99195251065,3552.1672434931656,0.06868125536563607,12.323903055895148,6.9359174777988,0.02632816900997194
37,0.010089502626395273,0.0711991487921417,2634.538817706654,3762.3487218113114,0.053225565942941505,11.927859463789007,6.6492538011764895,0.02800859377874608
38,0.007070481779382798,0.11172348657020224,3832.3610346567366,3951.5754859660638,0.07756174251126575,11.841248287695565,7.120662846943522,0.01731425155897271
39,0.012016332895600787,0.04491365658685005,2824.4089284589545,3788.0525892265173,0.1251201827954989,12.253965682089794,6.39128405272679,0.030960781950954745
